Problem,Method,Dimension,Iterations,Function Evals,Time (s),Success
Shubert,CG,2,10,27,0.0029959678649902344,True
Sum_Squares,BFGS,10,18,61,0.0022652149200439453,True
Sum_Squares,L-BFGS-5,10,60,269,0.0049610137939453125,True
Sum_Squares,L-BFGS-10,10,56,224,0.006119728088378906,True
Sum_Squares,L-BFGS-20,10,18,61,0.0018146038055419922,True
Sum_Squares,CG,10,10,22,0.0026445388793945312,True
Sum_Squares,BFGS,50,61,355,0.009003400802612305,True
Sum_Squares,L-BFGS-5,50,193,1421,0.02643871307373047,True
Sum_Squares,L-BFGS-10,50,216,1496,0.0338587760925293,True
Sum_Squares,L-BFGS-20,50,209,1406,0.04146909713745117,True
Sum_Squares,CG,50,64,114,0.00905299186706543,True
Trid,BFGS,10,18,39,0.001081228256225586,True
Trid,L-BFGS-5,10,39,84,0.0023779869079589844,True
Trid,L-BFGS-10,10,28,62,0.0020012855529785156,True
Trid,L-BFGS-20,10,18,39,0.0013096332550048828,True
Trid,CG,10,53,90,0.005847454071044922,True
Trid,BFGS,50,72,264,0.008372306823730469,True
Trid,L-BFGS-5,50,255,765,0.022400856018066406,True
Trid,L-BFGS-10,50,201,697,0.02056741714477539,True
Trid,L-BFGS-20,50,152,549,0.02435922622680664,True
Trid,CG,50,342,497,0.029837369918823242,False
Zakharov,BFGS,5,15,45,0.0,True
Zakharov,L-BFGS-5,5,16,56,0.0,True
Zakharov,L-BFGS-10,5,16,56,0.004140615463256836,True
Zakharov,L-BFGS-20,5,15,45,0.0,True
Zakharov,CG,5,11,31,0.0046253204345703125,True
Zakharov,BFGS,20,31,86,0.0,True
Zakharov,L-BFGS-5,20,36,173,0.008253812789916992,True
Zakharov,L-BFGS-10,20,32,124,0.004063606262207031,True
Zakharov,L-BFGS-20,20,31,105,0.0046117305755615234,True
Zakharov,CG,20,15,45,0.0020062923431396484,True
